model,k,precision@k,recall@k,ndcg@k,mrr@k,hit_rate@k,coverage,n_users,diversity,novelty,serendipity
most_popular,10,0.12771285475792987,0.08712680282697745,0.15791142912189818,0.3124016217505366,0.5642737896494157,0.006114508060033352,599,0.7989082185771111,1.6461849686762584,0.000667779632721202
highest_avg,10,0.031552587646076796,0.017034261385213516,0.03065642737643656,0.06205448233828869,0.2387312186978297,0.0027793218454697055,599,0.7538064764024697,3.855480788408877,0.012687813021702838
bayesian_avg,10,0.07863105175292154,0.04321477079718933,0.09595562011774943,0.22473633304184223,0.4090150250417362,0.0044469149527515284,599,0.785200245559177,2.6113309945931857,0.02337228714524207
random,10,0.0011686143572621037,0.0004554417275233488,0.001535575191843968,0.005458171025783714,0.011686143572621035,0.4896053362979433,599,0.8302168664411291,6.990265748644462,0.0011686143572621037
item_item_cf,10,0.1367278797996661,0.09218204351271608,0.17696126644352417,0.3508294247025466,0.5676126878130217,0.14785992217898833,599,0.785554169032188,3.638467109573828,0.05792988313856428
user_user_cf,10,0.1684474123539232,0.12920794925051615,0.2173964387046046,0.4010487055144818,0.6878130217028381,0.029683157309616452,599,0.796446289751799,2.0832907879822584,0.04891485809682805
content_based,10,0.04307178631051753,0.03643078714918572,0.06499128776506355,0.16579550573707502,0.29716193656093487,0.17909949972206782,599,0.6371189476448241,6.294076388582587,0.030383973288814696
matrix_factorization,10,0.12454090150250416,0.10776253227077394,0.1698784706635234,0.34998675040411265,0.6243739565943238,0.06670372429127293,599,0.8007144195485876,2.563188638516655,0.04607679465776294
ltr_hybrid,10,0.16811352253756262,0.1244460203621143,0.21181899562030074,0.39087765323157647,0.6844741235392321,0.050917176209005,599,0.8016863697525912,2.2199728310139704,0.05425709515859766
ltr_reranked,10,0.15859766277128548,0.11908000977166272,0.20086788744920844,0.3791332114370512,0.666110183639399,0.057476375764313505,599,0.8404749725840432,2.367274373164808,0.05759599332220367
